Prokofiev			-> danse des chevaliers
Moussorgsky			-> une nuit sur le mont chauve
Wagner				-> la chevauchee des walkyties
Saint-saens			-> aquarium
saint-saens			-> danse macabre
haendel				-> sarabande
beethoven			-> symphonie n 7
liszt				-> rhapsodie hongroise n2
beethoven			-> sonate au clair de lune
beethoven			-> symphonie n 5
mozart				-> requiem
schubert			-> ave maria
beethoven			-> symphonie n 9
mozart				-> symphonie n 40
dvorak				-> symphonie du nouveau monde
verdi				-> dies ire
schubert			-> trio pour piano n 2
bach				-> toccata et fugue
